Authority,Code,Keyword,Value,Keyword,Value,Keyword,Value,Keyword,Value,Keyword,Value,Keyword,Value
EPSG,32743,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),43,Hemisphere,S,Override,Off,,
EPSG,32744,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),44,Hemisphere,S,Override,Off,,
EPSG,32745,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),45,Hemisphere,S,Override,Off,,
EPSG,32746,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),46,Hemisphere,S,Override,Off,,
EPSG,32747,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),47,Hemisphere,S,Override,Off,,
EPSG,32748,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),48,Hemisphere,S,Override,Off,,
EPSG,32749,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),49,Hemisphere,S,Override,Off,,
EPSG,32750,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),50,Hemisphere,S,Override,Off,,
EPSG,32751,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),51,Hemisphere,S,Override,Off,,
EPSG,32752,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),52,Hemisphere,S,Override,Off,,
EPSG,32753,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),53,Hemisphere,S,Override,Off,,
EPSG,32754,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),54,Hemisphere,S,Override,Off,,
EPSG,32755,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),55,Hemisphere,S,Override,Off,,
EPSG,32756,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),56,Hemisphere,S,Override,Off,,
EPSG,32757,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),57,Hemisphere,S,Override,Off,,
EPSG,32758,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),58,Hemisphere,S,Override,Off,,
EPSG,32759,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),59,Hemisphere,S,Override,Off,,
EPSG,32760,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),60,Hemisphere,S,Override,Off,,
EPSG,5041,Datum,WGE,Coord_Sys,Universal Polar Stereographic (UPS),Hemisphere,N,,,,,,
EPSG,5042,Datum,WGE,Coord_Sys,Universal Polar Stereographic (UPS),Hemisphere,S,,,,,,
EPSG,4322,Datum,WGC,Coord_Sys,Geodetic,Height Type,No Height,,,,,,
EPSG,4985,Datum,WGC,Coord_Sys,Geodetic,Height Type,Ellipsoid Height,,,,,,
EPSG,4984,Datum,WGC,Coord_Sys,Geocentric,,,,,,,,
